id,sloka,translation
1,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are indeed spring and summer , as well as the rains . These two deities are called by the names autumn and late winter , respectively. They are, in a manner of speaking, the fathers to us."
2,yavāgūrodano dadhi samigrāmakāmānnādyakāmendriyakāmatejaskāmānāṃ,"Of yavagu, what are the desires for sensory and mental pleasures, including tears, and curd that motivate one in such pursuits?"
3,tadyatheṣīkātūlamagnau protaṃ pradūyetaiv~ hāsya sarve pāpmānaḥ pradūyante ya etadevaṃ vidvānagnihotraṃ juhoti ||,"""Just as the base of a twig is quickly consumed in the fire, similarly all sinners are quickly destroyed in this very Agnihotra ritual. Only one who truly understands this performs it."""
4,yatheha kṣudhitā bālā mātaraṃ paryupāsate | ev~ sarvāṇi bhūtānyagnihotramupāsata ityagnihotramupāsata iti ||,"In the same way that a famished child reverently serves his mother, so too should one revere all beings as if they were the agnihotra, the fire ritual."
5,agnayo vai trayī vidyā devayānaḥ panthā gārhapatya ṛk pṛthivī rathantaramanvāhāryapacanaḥ yajurantarikṣaṃ vāmadevyamāhavanīyaḥ sāma suvargo loko bṛhattasmādagnīn paramaṃ vadanti || ||,"The threefold knowledge, referred to as trayi vidya, indeed constitutes the path of the devas . Specifically, gArhapatya is identified with the ṛk associated with earth , while ahireva pacana represents the intermediate region . Similarly, vAmadevya is linked to speech . As for agni, it serves as the means to reach the heavenly world . Indeed, agni is considered the supreme means due to its crucial role in this context."
6,agnihotra~ sāyaṃ prātargṛhāṇāṃ niṣkṛtiḥ sviṣṭa~ suhutaṃ yajñakratūnāṃ prāyaṇa~ suvargasya lokasya jyotistasmādagnihotra~ paramaṃ vadanti ||,"The last ritual of Agnihotra, performed during sunset and dawn, represents the primary rite of purification in households. Referred to as the supreme ritual among sacrifices, it illuminates the way to a blissful heaven for the departed, as proclaimed by those who conduct sacrificial rituals."
7,vasanti prāṇino yatra |,Where living beings reside.
8,tataḥ tu irāvatīm nāma jajñe bhadramadā sutām | tasyāḥ tu airāvataḥ putro lokanātho mahāgajaḥ ||,"Then, indeed, Bhadra's daughter Iravatī was born. From her, the noble Airāvata was born, who became the protector of the world, the great elephant ruler."
9,cāturvarṇyaṃ mayā sṛṣṭaṃ guṇakarmavibhāgaśaḥ | tasya kartāramapi māṃ viddhyakartāramavyayam ||,"I myself have established the four-caste system, categorized by qualities and deeds. You should know me to be its enduring creator, as well as the one who does not act as an agent within it."
10,eṣāmutpattyādiryathā yadā bhagavān puruṣarūpeṇa sṛṣṭiṃ kṛtavān tadāsyaśarīrāt catvāro varṇā utpannāḥ mukhato brāhmaṇāḥ bāhutaḥ kṣatriyāḥ ūruto vaiśyāḥ pādataḥ śūdrā jātāḥ,"When the Lord had previously brought about creation in his cosmic form, it was then that four varnas emerged sequentially from his very self: the brāhmaṇas from his mouth, next a multitude of kṣatriyas from his arms, vaiśyas from his thighs, and śūdras from his feet."
11,brāhmaṇo'sya mukhamāsīdbāhū rājanyaḥ kṛtaḥ | ūrū tadasya yadvaiśyaḥ padbhyāṃ śūdro ajāyata ||,"The brahmin was generated from its mouth, the kshatriya was made from its arms, the vaishya came into existence from its thighs, and the shudra was born from what had been scraped off its feet."
12,āśramaḥ śāstrokta dharmmaviśeṣaḥ| āśrāmyanti svaṃ svaṃ tapaścarantyatra | sa caturvidhaḥ | brahmacaryyaṃ gārhasthyaṃ vānaprasthyaṃ sannyāsaḥ | iti smṛtiḥ || brahmacārī | gṛhī | vānaprasthaḥ | bhikṣuḥ | ityamaraḥ ||,"The āśrama (residential and spiritual stage of life), as delineated by scriptural dictates, represents a distinct code of conduct; individuals resort to their respective āśramas to immerse themselves in ascetic practices. This is fourfold, encompassing brahmacarya (celibate studentship), gārhasthya (householder life), vānaprastha (retired forest dwelling), and sannyāsa (renunciation). Such practitioners are recognized as brahmacārīs (student), gṛhīs (householders), vānaprasthis (forest dwellers), and bhikṣus (mendicants). This is the traditional understanding, as encapsulated by smṛti (scriptural tradition)."
