id,sloka,translation
1,cinmayasyādvitīyasya niṣkalasyāśarīriṇaḥ | upāsakānāṃ kāryārthe brahmaṇo rūpakalpanā ||,"Of the indivisible, bodiless one that is consciousness and unique, the form envisioning is the duty of the devotees for some particular purpose."
2,devebhyaḥ svāhākāra ā kāṣṭhāt,"From the divine beings, (coming) from a tree, (is the exclamation) svāhā."
3,tasmādapaḥ sambharati tasmāddhiraṇyaṃ sambharati taddyāvāpṛthivyo rasena samardhayati tasmādūṣāntsambharati tasmādākhukarīṣaṃ sambharati,"Therefore, it nourishes the waters from there, and similarly enriches the earth with its essence; furthermore, it causes the extremities to be nourished. Thus, it is also responsible for nourishing the plants that grow from the earth."
4,kṛttikāsu rohiṇyāṃ mṛgaśirasi phalgunīṣu viśākhayoruttarayoḥ proṣṭhapadayoḥ ||,"At the front of Rohini and at the heads of Mriga, Phalguni, Uttara's later part, and Visakha, respectively."
5,kṛttikāsu brāhmaṇa ādadhīta mukhyo brahmavarcasī bhavati gṛhāṃstasyāgnirdāhuko bhavati ||,"In the Krttikas (a group of stars), if a brahmin studies (this) primary knowledge of the Brahman, he becomes worthy of veneration; his home becomes a place for fire offerings."
6,vasanto grīṣmo varṣāḥ | te devā ṛtavaḥ śaraddhemantaḥ śiśiraste pitaro ya,"The seasons are spring, summer, and the rains; these two, autumn and winter, they call the fathers."
7,rātriṃ jāgaraṇadhāraṇe śakalairvā,"During the night, or in the form of staying awake, by everyone, perhaps?"
8,śamīgarbhādagniṃ manthati | eṣā vā agneryajñiyā tanūḥ |,"The firewood's core is churned. This, indeed, is the physical form of the sacrificial fire."
9,sa bhūrbhuva ityetaistribhirakṣarairgārhapatyamādadhāti dve pariśinaṣṭyayātayāmatāyai,"He, with these three syllables ""bhūrbhuva,"" endows the sacred domestic fire while nurturing it with great care, causing two entities to approach and move away."
10,yo aśvatthaḥ śamīgarbha āruroha tvesacā | taṃ tvāharāmi brahmaṇā yajñiyaiḥ ketubhiḥ saheti pūrṇāhutyantamagnyādheyaṃ,"The ashvattha tree that has sprung from the seed of a shami tree, I now offer it with oblations performed in full through the sacred formulas."
